dataset_sentence_id;;sentence
34;;The Joint Declaration on Principles of Mutual Relations, signed by visiting Tajikistan President Emomali Sharifovich Rakhmonov and Indian Prime Minister Atal Bihari Vajpayee here, charts out the future course of intensified cooperation between the two countries in diversified fields, the Press Trust of India (PTI) reported.
34;;The Joint Declaration on Principles of Mutual Relations, signed by visiting Tajikistan President Emomali Sharifovich Rakhmonov and Indian Prime Minister Atal Bihari Vajpayee here, charts out the future course of intensified cooperation between the two countries in diversified fields, the Press Trust of India (PTI) reported.
157;;On board the delivery flight from the Airbus facility in France were Rafael Hui, Chief Secretary for Administration of the Hong  Kong SAR Government, and Cathay Pacific Chief Executive Philip  Chen.
7411;;Spadea ousted Thailand's Danai Udomchoke 6-3, 6-4 while the 13th- ranked Scottish teen eased past Kevin Kim of the United States 6-3, 6-1.
7413;;Germany's Bjorn Phau also advanced to the second round with a straight-set victory as he eliminated Greece's Konstantinos Economidis 6-2, 6-3.
8685;;Kazakh President Nursultan Nazarbayev, Ukrainian President Viktor Yushchenko, Afghan President Hamid Karzai and Russian Prime Minister Mikhail Fradkov.
8464;;billionaire and philanthropist Eli Broad, who spearheaded the three-phase development project, said the project would change the entire complexion of Los Angeles.
8557;;Li Weiyi, spokesman for the Taiwan Affairs Office of the State Council,said the mainland has noticed Taiwan prosecutors' indictment against Taiwan's major opposition party leader Ma Ying-jeou.
8557;;Li Weiyi, spokesman for the Taiwan Affairs Office of the State Council,said the mainland has noticed Taiwan prosecutors' indictment against Taiwan's major opposition party leader Ma Ying-jeou.
7178;;Taiwan's main opposition party, the Kuomintang (KMT), said Wednesday the resignation of Ma Ying-jeou from the post of KMT chairman has taken effect.
7360;;But President Museveni said that no amount of pressure or threats from the ousted Islamist hard-liners would stop the deployment of Ugandan troops.
7829;;But Cypriot President Tassos Papadopoulos ignored the warning, saying that Cyprus will not surrender its sovereign rights.
7829;;But Cypriot President Tassos Papadopoulos ignored the warning, saying that Cyprus will not surrender its sovereign rights.
7837;;His predecessor Dan Halutz, who resigned in January over criticism of his handling of last summer's Israel-Hezbollah conflict, said that during the war, \"along with successes in the fighting, mistakes were made, on my part as well.\"
8930;;Present at the investiture were many foreign leaders including Kazakh President Nursultan Nazarbayev, Ukrainian President Viktor Yushchenko, Afghan President Hamid Karzai and Russian Prime Minister Mikhail Fradkov.
8930;;Present at the investiture were many foreign leaders including Kazakh President Nursultan Nazarbayev, Ukrainian President Viktor Yushchenko, Afghan President Hamid Karzai and Russian Prime Minister Mikhail Fradkov.
7111;;Malaysia will recruit 150,000 workers from Bangladesh and the process for sending the workers has already started, Bangladeshi Foreign Affairs Advisor Iftekhar Ahmed Chowdhury said here Wednesday.
7111;;Malaysia will recruit 150,000 workers from Bangladesh and the process for sending the workers has already started, Bangladeshi Foreign Affairs Advisor Iftekhar Ahmed Chowdhury said here Wednesday.
7138;;Japan's double Olympic breaststroke champion and former world record holder Kosuke Kitajima has been working hard in a bid to retain his titles at the 2008 Beijing Olympics, Kyodo News said Wednesday.
8004;;Meeting with Ismail Amat, the envoy of Chinese President Hu Jintao, Berdymukhamedov said Turkmenistan is willing to implement all the bilateral agreements with China and support China on a string of major issues, such as those relating to Taiwan and Tibet.
8004;;Meeting with Ismail Amat, the envoy of Chinese President Hu Jintao, Berdymukhamedov said Turkmenistan is willing to implement all the bilateral agreements with China and support China on a string of major issues, such as those relating to Taiwan and Tibet.
8004;;Meeting with Ismail Amat, the envoy of Chinese President Hu Jintao, Berdymukhamedov said Turkmenistan is willing to implement all the bilateral agreements with China and support China on a string of major issues, such as those relating to Taiwan and Tibet.
7050;;Croatia's Ivan Ljubicic, the second seed, followed Davydenko out when he slipped to a 6-4, 6-4 defeat to France's Nicolas Mahut.
9016;;During the visit, Paul Calvert is scheduled to meet with Cambodia's King Norodom Sihamoni, Prime Minister Hun Sen, Senate President Chea Sim and National Assembly President Heng Samrin, Om Sarith, Secretary General of the Cambodian Senate, said on Wednesday.
9016;;During the visit, Paul Calvert is scheduled to meet with Cambodia's King Norodom Sihamoni, Prime Minister Hun Sen, Senate President Chea Sim and National Assembly President Heng Samrin, Om Sarith, Secretary General of the Cambodian Senate, said on Wednesday.
9016;;During the visit, Paul Calvert is scheduled to meet with Cambodia's King Norodom Sihamoni, Prime Minister Hun Sen, Senate President Chea Sim and National Assembly President Heng Samrin, Om Sarith, Secretary General of the Cambodian Senate, said on Wednesday.
9016;;During the visit, Paul Calvert is scheduled to meet with Cambodia's King Norodom Sihamoni, Prime Minister Hun Sen, Senate President Chea Sim and National Assembly President Heng Samrin, Om Sarith, Secretary General of the Cambodian Senate, said on Wednesday.
8911;;Captain Dwight Yorke was named Trinidad and Tobago's player of the year for the second successive year.
7542;;Israeli Prime Minister Ehud Olmert has promised to increase financial assistance to the Israel Olympic Committee's preparations for the Beijing Olympics, sources from the Israeli PM office said on Wednesday.
8794;;On Tuesday, a day before the arrival of Olmert, Turkish Prime Minister Recep Tayyip Erdogan criticized Israel for allowing excavation near Islam's third holiest shrine al-Aqsa Mosque in Jerusalem, saying the objections of the Muslim world were justified, local media reported.
8794;;On Tuesday, a day before the arrival of Olmert, Turkish Prime Minister Recep Tayyip Erdogan criticized Israel for allowing excavation near Islam's third holiest shrine al-Aqsa Mosque in Jerusalem, saying the objections of the Muslim world were justified, local media reported.
7215;;U.S. President George W. Bush spoke through telephone with Japanese Prime Minister Shinzo Abe and South Korean President Roh Moo-Hyun on Wednesday about the nuclear deal with the Democratic People's Republic of Korea (DPRK), National Security Council spokesman Gordon Johndroe said.
7215;;U.S. President George W. Bush spoke through telephone with Japanese Prime Minister Shinzo Abe and South Korean President Roh Moo-Hyun on Wednesday about the nuclear deal with the Democratic People's Republic of Korea (DPRK), National Security Council spokesman Gordon Johndroe said.
9227;;In a joint press conference, held after meeting with visiting Afghan President Hamid Karzai at Downing Street, he said securing the war-torn nation's future was necessary to protect Britain.
9232;;Karzai said Afghanistan was immensely grateful for Britain's help, and said he had full confidence in what Britain was doing to help Afghanistan.
9232;;Karzai said Afghanistan was immensely grateful for Britain's help, and said he had full confidence in what Britain was doing to help Afghanistan.
8742;;President of Greece Karolos Papoulias pays a state visit to Romania over February 15-16, informed a release of Romania's Presidential Administration on Wednesday.
7803;;Rwanda, which broke off diplomatic ties with France after the invitation was sent, will not attend the summit, as well as presidents Thabo Mbeki of South Africa, Laurent Gbagbo of Cote d'Ivoire, Robert Mugabe of Zimbabwe, and Libyan leader Muamar Khadafi.
7803;;Rwanda, which broke off diplomatic ties with France after the invitation was sent, will not attend the summit, as well as presidents Thabo Mbeki of South Africa, Laurent Gbagbo of Cote d'Ivoire, Robert Mugabe of Zimbabwe, and Libyan leader Muamar Khadafi.
7804;;President Mbeki \"is held by inevitable domestic matters in South Africa,\" while Gbagbo, who has not attended successive summits since 2002, decided to send the chairman of Cote d'Ivoire's social and economic council.
7807;;Democratic Republic of Congo (DRC) President Joseph Kabila has declared that \"the situation in DRC require his presence, though he may attend the summit if current circumstances allow,\" according to a spokesman.
7807;;Democratic Republic of Congo (DRC) President Joseph Kabila has declared that \"the situation in DRC require his presence, though he may attend the summit if current circumstances allow,\" according to a spokesman.
7807;;Democratic Republic of Congo (DRC) President Joseph Kabila has declared that \"the situation in DRC require his presence, though he may attend the summit if current circumstances allow,\" according to a spokesman.
7807;;Democratic Republic of Congo (DRC) President Joseph Kabila has declared that \"the situation in DRC require his presence, though he may attend the summit if current circumstances allow,\" according to a spokesman.
6978;;The move came two days after Swiss Foreign Minister Micheline Calmy-Rey held informal discussions with Iran's national security chief Ali Larijani on the nuclear stand-off.
9011;;Spain's Juan Carlos Ferrero made his debut at the Brazil Open with a victory over Argentina's Sergio Roitman 6-4, 6-4.
9037;;The two countries have not agreed on the price since Bolivian President Evo Morales announced plans in May last year to nationalize Bolivia's energy reserves.
9037;;The two countries have not agreed on the price since Bolivian President Evo Morales announced plans in May last year to nationalize Bolivia's energy reserves.
7729;;Seventh seed Anna Chakvetadze from Russia came from behind to defeat Austria's Sybille Bammer 4-6, 7-6, 6-2 to seal her quarter-final berth and Serbia's Ana Ivanovic beat Anastasiya Yakimova of Belarus 6-3, 6-2 in a first-round action.
8084;;Ecuador will intercept any aircraft from Colombia or the United States that enter the country's air space, the country's President Rafael Correa told media on Wednesday.
